来源,时间,公司规模,英文名字,中文名字,公司简称,法人,成立日期,注册资本(万元）,联系人,联系人职位,职位名称,最低工资,最高工资,工资范围,招人数,工作经验 （年数）,学历要求,行业,公司经营地址,经营范围
,2021-08-09,20-99人,,深圳亮视光学科技有限公司,亮视光学,李娟,2016-01-26,1000万人民币,何女士,HR,外贸客服,5000,7000,5-7K·13薪,-,1-3年,大专,医疗设备/器械,深圳市 龙岗区 中粮祥云国际1期 2A栋3012房,一般经营项目是：眼镜及附件、医疗器械一类、电子产品的批发与零售；电子商务；货物与技术进出口；国内贸易；其他：信息咨询（不含限制项目）；经济信息咨询（不含限制项目）；贸易咨询；企业管理咨询（不含限制项目）；商务信息咨询；商业信息咨询；。，许可经营项目是：医疗器械二类、三类零售。
58Job,2021-08-09,50-99人,,深圳市艾特美实业有限公司,艾特美,李祥银,2016-11-29,600万人民币,,,急招外贸业务员月薪过万,5000,10000,5000-10000元/月,招10人,"1年以下,可接收应届生",大专,贸易/进出口,深圳宝安石岩街道三祝里区南区78栋二楼,一般经营项目是：电子产品的研发设计与销售；国内贸易，货物及技术进出口。投影仪、投影设备、平板电脑、VR一体机、计算机、数码产品、移动互联网设备、智能机器人、电动牙刷、电动美容仪、智能日常使用小设备研发、销售。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外），许可经营项目是：投影仪、投影设备、平板电脑、VR一体机、计算机、数码产品、移动互联网设备、智能机器人，电动牙刷，电动美容仪，智能日常使用小设备生产。二类医疗器械及耗材的销售；口罩、防护服、一次性医用手套、额温仪的销售，预包装食品销售。
,2021-08-09,20-99人,,深圳市耀鹏精密模具有限公司,耀鹏精密模具,刘怀锋,2013-08-06,500万人民币,刘先生,总经理,外贸运营专员,7000,10000,7-10K,-,1-3年,大专,贸易/进出口,深圳宝安区耀鹏精密模具有限公司深圳市宝安区大朗山西路15号二层,一般经营项目是：五金配件、五金模具的销售。，许可经营项目是：五金配件、五金模具的生产。
,2021-08-09,20-99人,,深圳力韬胜科技有限公司,力韬胜,彭丽平,2015-05-18,200万人民币,吴女士,HR经理,外贸美工,6000,11000,6-11K,-,1-3年,大专,贸易/进出口,深圳市 龙岗区 六维商务中心 A座502,一般经营项目是：电子类产品及配件、通讯类产品及配件和汽车配件类产品的技术研发、技术服务、销售；国内贸易；化工产品的销售与技术服务（不含易燃易爆危险化学品）；厂房机电及相关生产线体自动化设备的技术服务、上门维护保养；机械设备及配件、五金产品及塑胶产品的批发与零售；经营进出口业务。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：
58Job,2021-08-09,1-49人,,深圳乃大国际发展有限公司,,余前新,2019-06-13,100万人民币,,,高薪急聘外贸业务员,3000,6000,3000-6000元/月,招1人,1-2年,大专,其他行业,广东省深圳市龙岗区龙岗街道新生社区集银皮带革综合广场,一般经营项目是：货物或技术进出口；经营电子商务；国内贸易（不含专营、专卖、专控商品）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。初级农产品批发、销售；服装、纺织品、针织品、日用百货批发、销售； 文化用品、体育用品批发、销售；建材批发、销售；机械设备、五金产品、电子产品批发、销售；首饰、工艺品批发、销售。纺织、服装类:男士服装、女士服装、童装、围巾、头巾、手套、袜子、皮带、领带、领结、领带夹及饰物、胸针的销售；鞋、帽、床上用纺织品（床单、床罩、被褥等）、室内装饰用纺织品（窗帘、桌布、地毯、挂毯等）、纺织品（毛巾、浴巾等）的销售。化妆品、卫生用品类:化妆品、卫生用品的销售（护肤用品、头发护理用品、香水、妇女卫生用品、卫生纸、纸巾、洗漱用品等）。厨房、卫生间用具、灯具、装饰品、家用电器:厨房、卫生间用具、灯具、装饰物品、家用电器、家具的销售；钟表、眼镜（不含隐形眼镜）、箱、包的销售。机械设备、五金产品、电子产品类:农业机械、汽车零配件、摩托车及其零配件、电力照明设备、电动机的销售；工业设计、时装设计、包装装潢设计、多媒体设计、动漫及衍生产品设计、动漫产品设计、饰物装饰设计、展台设计、规划模型设计、沙盘模型设计，许可经营项目是：
,2021-08-09,100-499人,,深圳市虞氏路腾科技有限公司,虞氏路腾,王立霞,2016-12-12,500万人民币,王女士,招聘者,外贸美工,5000,8000,5-8K,-,经验不限,中专/中技,电子/半导体/集成电路,深圳龙华区观澜街道库坑围仔老村68号,一般经营项目是：国内贸易，货物及技术进出口（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。，许可经营项目是：连接器、开关、插座、线材、接线端子、电子产品、五金制品、塑胶制品的生产与销售；
58Job,2021-08-09,1-49人,,深圳市诺伊曼网络科技有限公司,诺好技术,龚永泉,2012-12-17,1000万人民币,,,急聘英语四级外贸跟单,7500,13000,7500-13000元/月,招1人,1年以下,大专,互联网/电子商务,深圳龙华民治民宝路淘景商务大厦1508,一般经营项目是：电子产品、电子元器件、电子工具、五金工具、手工具；照明器具；焊接设备及耗材、生产线设备、包装设备、防静电产品的技术研发与销售；国内贸易；货物及技术进出口。二类医疗器械销售（备案后方可经营）。（法律、行政法规、国务院决定规定在登记前须经批准的项目除外），许可经营项目是：
,2021-08-07,100-499人,,深圳市宅易通电子商务有限公司,宅易通,张豪,2018-08-01,900万人民币,蒋先生,助理,外贸产品开发,6000,11000,6-11K,-,1年以内,大专,电子商务,深圳龙华区青年创业园健行楼203,一般经营项目是：货物或技术进出口；经营电子商务；国内贸易（不含专营、专卖、专控商品）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；初级农产品批发、销售；服装、纺织品、针织品、日用百货批发、销售；文化用品、体育用品批发、销售；建材批发、销售；机械设备、五金产品、电子产品批发、销售；首饰、工艺品批发、销售；信息传输、软件和信息技术服务；计算机软件、信息系统软件的开发、销售；信息系统设计、集成、运行维护；信息技术咨询；集成电路设计、研发；报关代理、企业登记代理；国内、国际货运代理；从事装卸、搬运业务；供应链管理；物流方案设计；物流信息咨询。，许可经营项目是：
58Job,2021-08-09,100-499人,,东莞市江湖智造科技有限公司,,刘剑冰,2008-09-28,500万人民币,,,外贸销售（会英语）,7000,13000,7000-13000元/月,招10人,经验不限,学历不限,电子技术/半导体/集成电路,惠州惠阳区和惠创新产业园D幢4楼南侧秋宝路68号,一般经营项目是：LED显示屏的生产与销售；电子产品及元器件的技术开发与销售；国内商业，物资供销业，货物及技术进出口。（以上均不含法律、行政法规、国务院决定规定需前置审批和禁止的项目），许可经营项目是：
,2021-08-09,20-99人,,深圳市军灿电子商务有限公司,军灿,余君,2013-01-15,51万人民币,余先生,HR,外贸电商运营助理客服,6000,9000,6-9K·13薪,-,1年以内,大专,电子商务,深圳南山区JUNSUN公司田寮工业区A9栋6楼西座601室,一般经营项目是：网上从事广告业务、国内贸易、电子商务、进出口业务、电子商务信息咨询、网络推广信息咨询；房屋租赁。（（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：
58Job,2021-08-09,50-99人,,深圳市国一通物流有限公司,,李文,2016-03-03,500万人民币,,,外贸文员饭补年底双薪奖金,5000,7000,5000-7000元/月,招1人,3-5年,大专,贸易/进出口+交通/运输/物流,深圳盐田盐田3路保惠冷链物流园,一般经营项目是：供应链管理；贸易经济代理，销售代理；国内、国际货运代理；从事经营冷冻肉的批发、零售；国内贸易（不含专营、专卖、专控商品）；经营进出口业务（不含限制项目）；物流方案设计；仓储服务。，许可经营项目是：从事冷冻食品的批发、零售；食品流通；国际船舶运输、代理、管理业务、无船承运；餐饮服务；出口食品加工经营。
,2021-08-09,20-99人,,深圳市山水同城科技有限公司,山水同城科技,欧阳振国,2012-12-24,200万人民币,欧先生,招聘者,产品开发外贸助理,5000,10000,5-10K,-,经验不限,大专,贸易/进出口,深圳龙华区大众创业园2楼,一般经营项目是：通讯产品、电子产品、仪器仪表及办公用机械的设计开发与销售；计算机、软件及辅助设备的销售；服装、鞋帽、纺织面料、纺织品、日杂品的销售；工艺品、玩具、化妆品、家居用品、办公用品、体育用品、五金交电、家用电器销售;经营电子商务（不含专营、专控、专卖商品）；国内贸易，货物及技术进出口（法律、行政法规、国务院决定规定在登记前须经批准的项目除外）。二类医疗器械的研发与销售;口罩、防护服、隔离服，手套、额温枪、耳温枪、血氧仪、红外热成像温测仪等二类医疗器械的销售；，许可经营项目是：
58Job,2021-08-09,100-499人,,深圳市奇明光电实业有限公司,环芯晟,向泽元,2018-12-19,100万人民币,,,外贸/品牌业务,8000,15000,8000-15000元/月,招1人,1年以下,大专,电子技术/半导体/集成电路,深圳龙华新区大浪华荣路416号鸿富工业园B栋2F,一般经营项目是：主板、蓝牙数码产品、电子产品、车载电子产品的销售。，许可经营项目是：主板、蓝牙数码产品、电子产品、车载电子产品的加工。
,2021-08-09,20-99人,,深圳市百斯特节能科技有限公司,百斯特,贺胜利,2011-09-28,200万人民币,贺先生,总经理,外贸项目管理,9000,14000,9-14K·13薪,-,3-5年,本科,电子商务,深圳 宝安区 华源科技创新园D座 D座522-525,一般经营项目是：电子产品、节能产品、线材、LED产品的设计、技术开发与销售；国内贸易、货物及技术进出口。（法律、行政法规、国务院决定规定在登记前须经批准的项目除外），许可经营项目是：电子产品、节能产品、线材、LED产品的生产。
,2021-08-09,20-99人,,深圳市南博网络科技有限公司,南博网,李媛,2016-02-25,200万人民币,李女士,经理,外贸跟单文案,5000,6000,5-6K,-,1-3年,大专,互联网,深圳龙岗区世宏大厦1702,一般经营项目是：计算机软件开发与设计；手机软件开发；网络技术的技术开发、技术咨询服务及技术推广；国内贸易；货物及技术进出口。，许可经营项目是：提供搜索引擎服务。
58Job,2021-08-09,1-49人,,深圳市寰宇跨境贸易服务有限公司,酷可电子,李林,2013-04-16,500万人民币,,,5K起应届生外贸业务员,5000,10000,5000-10000元/月,招10人,"经验不限,可接收应届生",大专,贸易/进出口,广东省深圳市龙华区新牛路港深国际中心A5-25,一般经营项目是：储能电池、锂离子电池、移动电源、电子烟、充电器、耳机、音响、数据线、充电宝、智能锁、行车记录仪产品、电子元器件、数码产品、智能设备、LED产品、电子产品及配件的研发与销售；储能电池、锂离子电池、锂离子电芯、移动电源的信息技术服务；国内贸易；货物及技术进出口。（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营），许可经营项目是：无。
,2021-08-09,0-20人,,深圳市昭坚贸易有限公司,昭坚贸易,林坚鹏,2018-07-25,1000万人民币,林先生,招聘者,外贸电商产品开发,5000,8000,5-8K,-,1-3年,大专,贸易/进出口,深圳坪山区长实机电坪山大道坑梓街道秀新园吓街1号—坑梓创业中心4楼,一般经营项目是：珠宝首饰、黄金饰品、铂金饰品、K金饰品、银饰品、彩色宝石、工艺品（象牙及其制品除外）的销售。服装服饰、日用百货、家用电器、化妆品、鞋帽、文化用品、办公用品、数码产品、汽车汽配件的批发与销售。国内贸易；经营货物及技术进出口业务。经营电子商务。计算机的技术研发、技术咨询；网络技术推广；从事广告业务；经济信息咨询。，许可经营项目是：
,2021-08-08,0-20人,,深圳睿证信息技术有限公司,睿证信息技术,史慧健,2020-11-13,177.8万人民币,史先生,招聘者,外贸运营推广,7000,12000,7-12K,-,1-3年,大专,通信/网络设备,深圳南山区深圳睿证信息技术有限公司B823,一般经营项目是：互联网信息技术咨询；计算机软件、电子产品、通信产品、计算机系统、网络设备系统、生物识别设备、指纹采集系统的技术开发、设计与销售及集成；互联网技术的研发；实验室仪器及耗材的销售；安全系统技术开发、技术咨询、上门维修、上门维护；国内贸易；经营进出口业务。（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营），许可经营项目是：无
,2021-08-09,20-99人,,深圳市创世盛电子有限公司,创世盛,李世盛,2011-11-15,300万人民币,宋女士,经理,外贸产品开发,10000,15000,10-15K,-,3-5年,大专,贸易/进出口,深圳龙岗区江南大厦802-805,一般经营项目是：电子产品、电子元器件、日用品、家用电器、玩具的购销；国内贸易（不含专营、专卖、专控商品）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；批发和零售业；电子商务；计算机软件、信息系统软件的开发、销售；信息技术咨询；经济信息咨询（不含限制项目）；贸易咨询；企业管理咨询（不含限制项目）；商业信息咨询。，许可经营项目是：
58Job,2021-08-09,1-49人,,深圳市丽彩礼品包装有限公司,丽彩,彭利军,2016-01-22,200万人民币,,,外贸,5000,10000,5000-10000元/月,招3人,"1-2年,可接收应届生",大专,其他行业,深圳市坪山区坪山街道坪山办事处六和社区高思特工业区第2栋3楼,一般经营项目是：不干胶纸，pvc盒，胶袋，胶壳，圣诞工艺品配件，绒布材料的研发与销售；国内贸易；货物及技术进出口。（不含专营、专卖、专控商品；法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：星星花、卷卷花、工艺礼品花、机械设备的研发、加工与销售。
58Job,2021-08-09,1-49人,,深圳市长富威科技有限公司,,吴佩纯,2019-01-24,200万人民币,,,外贸,,,薪资面议,招1人,1-2年,学历不限,其他行业,深圳福田车公庙天安数码城611,一般经营项目是：电子产品、数码产品及配件、电子元器件、集成电路、电子智能产品、通信设备及周边产品的技术研发、设计与销售；网络信息技术开发；计算机技术开发、技术服务；计算机软硬件的技术开发、技术咨询、技术服务及销售；计算机与网络系统设计、集成；信息技术咨询服务；LED产品的技术开发与销售；经营电子商务；经营进出口业务；国内贸易。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：
,2021-08-09,20-99人,,深圳丰铎科技有限公司,丰铎科技,赵颖龙,2014-06-11,500万人民币,陈女士,运营助理,外贸开发,8000,13000,8-13K,-,1-3年,大专,电子商务,深圳宝安区深圳宜君科技有限公司宝安区西乡旭生实业西发B区4栋2楼,一般经营项目是：电子产品、电子元器件、电子烟具、金属烟具、五金制品的技术开发与销售；国内贸易，货物及技术进出口。（法律、行政法规、国务院决定规定在经营前须经批准的项目除外），许可经营项目是：
,2021-08-09,20-99人,,深圳领臣电子有限公司,深圳领臣电子,成小兰,2015-02-28,500万人民币,高女士,总经理,速卖通外贸运营,8000,13000,8-13K,-,1-3年,大专,电子商务,深圳龙岗区百瑞达大厦A座18楼1806,一般经营项目是：生活电器、空气净化器的研发与销售；智能家居用品的设计及销售；智能电子产品的研发及销售；数码产品、通讯器材、通讯设备、摄影器材、家用电器、日用百货、音响器材、文化办公用品、电子产品、五金交电的销售；医疗器械的研发及销售；口罩、防护服，护目镜等研发和销售；消毒产品研发、销售；计算机软件及辅助设备的技术开发、销售；经营电子商务；工艺礼品（不含象牙及其制品）的技术开发及销售；工业设计；智能硬件设计；企业管理咨询；市场营销策划；产品包装设计；展览展示策划；投资兴办实业（具体项目另行申报）；物流信息咨询；国内贸易；经营进出口业务。（以上法律、行政法规、国务院决定规定在登记前须经批准的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：快递业务；普通货运；仓储服务；食品、饮料的销售。
58Job,2021-08-09,100-499人,,深圳市三裁缝服饰设计有限公司,英宝缝纫,"Dlugash, Brian D.",2011-06-07,350万港元,,,外贸跟单,,,薪资面议,招1人,1-2年,大专,服装/纺织/皮革,深圳宝安石岩石岩街道横坑工业园英宝厂,一般经营项目是：生产经营背包、旅行包、服装、雨衣、腰带、脚套、户外活动用品及配件。，许可经营项目是：
,2021-08-09,0-20人,,深圳市邑博科技有限公司,邑博,郭志锐,2019-02-28,100万人民币,黄先生,招聘者,外贸电商客服,6000,8000,6-8K,-,经验不限,大专,电子商务,深圳福田区电子科技大厦C座27D,一般经营项目是：经营电子商务；计算机软硬件、电子产品、智能家居产品的技术开发、购销；信息咨询；国内贸易；货物及技术出口；装卸服务；国内货运代理；从事货物及技术的进出口业务。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：搬运服务。
58Job,2021-08-09,1-49人,,深圳市优艺硅橡胶制品有限公司,伟力创,高金花,2019-04-29,50万人民币,,,外贸员,10000,15000,10000-15000元/月,招4人,1-2年,大专,原材料和加工,深圳宝安区松岗街道艺展四路8号满京华盈硕商务大厦1109,一般经营项目是：五金制品、五金零配件、注塑制品、钣金制品、自动化产品、电子产品、模具的研发与销售；国内贸易；货物及技术进出口。（法律、行政法规或者国务院决定禁止和规定在登记前须经批准的项目除外），许可经营项目是：
58Job,2021-08-09,1-49人,,深圳市铄研科技有限公司,精诚致远科技,罗艳萍,2016-06-12,100万人民币,,,外贸业务员,,,薪资面议,招若干,经验不限,大专,电子技术/半导体/集成电路,深圳宝安新安35区塘坊花园一巷,一般经营项目是：电子产品、安防监控产品、数码产品、智能家居用品、LED产品、移动电源、通讯产品、五金配件、工艺礼品、珠宝首饰，服饰鞋帽、箱包、 SMT设备及配件、手机和电脑周边产品的研发与销售，国内贸易，货物及技术进出口。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：
,2021-08-09,20-99人,,深圳市永兴盛科技有限公司,永兴盛科技,喻婧雅,2008-09-05,100万人民币,刘女士,招聘者,跨境运营助理（外贸助理）,4000,6000,4-6K,-,经验不限,大专,计算机硬件,深圳市 宝安区 华丰科技园9栋,一般经营项目是：电子产品、数码产品、电子周边产品的研发与销售;国内贸易，货物及技术进出口。（以上均不含法律、行政法规、国务院决定规定在登记前须经批准的项目），许可经营项目是：电子产品、数码产品、电子周边产品的生产。
,2021-08-09,20-99人,,深圳市泰兴星科技有限公司,泰兴星,杨森涛,2010-10-27,10万人民币,王女士,人事经理,外贸美工/产品摄影,5000,9000,5-9K·13薪,-,1-3年,中专/中技,电子商务,深圳龙岗区龙璧工业城24栋2楼西侧,一般经营项目是：数码产品的技术开发；网上经营数码产品、通讯产品、安全技术防范产品、计算机软硬件及周边设备、通讯器材、电子产品、摄影器材；国内贸易（法律、行政法规、国务院决定规定在登记前须经批准的项目除外）；货物进出口、技术进出口（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营）。，许可经营项目是：
58Job,2021-08-09,1-49人,,深圳市健怡康医疗器械科技有限公司,健怡康,郑怡,2009-05-18,100万人民币,,,外贸业务员,5000,10000,5000-10000元/月,招2人,"经验不限,可接收应届生",学历不限,电子技术/半导体/集成电路+仪器仪表/工业自动化,深圳宝安西乡固戍蚝业物流园B座6楼,一般经营项目是：保健按摩器材（不含医疗器械）的研发、销售；电子保健器材的研发、销售；经营电子商务（涉及行政许可的，须取得行政许可文件后方可经营）；电子产品的技术开发；家用电器、体育用品、礼品的销售；国内贸易，货物及技术进出口。（以上均不含法律、行政法规、国务院决定规定须经批准的项目），许可经营项目是：保健按摩器材（不含医疗器械）的生产；电子保健器材的生产；医疗器械（II类6820普通诊察器械；II类6826物理治疗及康复设备）研发、生产、销售。
,2021-08-09,100-499人,,深圳市必趣科技有限公司,必趣科技,张树泳,2015-04-08,200万人民币,胡女士,招聘主管,售后工程师--外贸,5000,7000,5-7K,-,1年以内,大专,智能硬件,深圳市 龙岗区 天安云谷二期4栋座 2006,一般经营项目是：经营电子商务；国内贸易；货物及技术进出口。，许可经营项目是：3D打印机及周边产品的研发、设计、生产加工及销售；3D扫描仪、快速成型机、自动化设备、电子产品研发、生产加工及销售。
58Job,2021-08-09,50-99人,,深圳市宝安区一田一屋小吃店,莱蒙斯,颜志翔,2016-05-26,100万人民币,,,外贸助理,6000,10000,6000-10000元/月,招2人,"经验不限,可接收应届生",大专,其他行业,深圳宝安翻身路华创达中心商务大厦F313至315室,一般经营项目是：经营电子商务（涉及前置性行政许可的，须取得前置性行政许可文件后方可经营）；化妆品、清洁用品、日用百货、卫生用品、成人用品、家居用品、电子产品、数码产品、手机及电脑周边配件的技术开发和销售；玩具、办公用品、户外运动用品、服装、鞋帽、首饰、手表、眼镜（不含隐形眼镜）、工艺礼品的销售，国内贸易；货物及技术进出口（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营），许可经营项目是：
,2021-08-07,0-20人,,深圳市德鑫宏莱实业有限公司,desiole,詹俊宏,2017-06-22,100万人民币,詹先生,经理,外贸产品开发专员,5000,10000,5-10K,-,经验不限,大专,电子商务,深圳市 龙岗区 龙璧工业城 东边6栋6楼6A,一般经营项目是：厨具用品、电子产品、户外用品、服装、宠物用品、五金制品的销售；国内贸易；经营电子商务；货物及技术进出口业务。，许可经营项目是：
